Node;X (ft);Y (ft);Z (ft);Support
 1;0.0;0.0;0.0;
 2;24.00;0.0;0.0;
 3;48.00;0.0;0.0;
 4;72.00;0.0;0.0;
 5;0.0;32.00;12.00;
 6;24.00;32.00;12.00;
 7;48.00;32.00;12.00;
 8;72.00;32.00;12.00;
 9;28.50;1.00;12.00;
 10;28.50;2.00;12.00;
 11;29.50;2.00;12.00;
 12;29.50;1.00;12.00;
 13;30.50;2.00;12.00;
 14;30.50;1.00;12.00;
 15;31.50;2.00;12.00;
 16;31.50;1.00;12.00;
 17;0.0;-2.60;0.0;
 18;24.00;-2.60;0.0;
 19;48.00;-2.60;0.0;
 20;72.00;-2.60;0.0;
 21;74.60;0.0;0.0;
 22;74.60;32.00;0.0;
 23;32.50;2.00;12.00;
 24;32.50;1.00;12.00;
 25;74.60;-2.60;0.0;
 26;-2.60;0.0;0.0;
 27;-2.60;32.00;0.0;
 28;33.50;2.00;12.00;
 29;33.50;1.00;12.00;
 30;-2.60;-2.60;0.0;
 31;0.0;0.0;12.00;
 32;24.00;0.0;12.00;
 33;48.00;0.0;12.00;
 34;72.00;0.0;12.00;
 35;34.50;2.00;12.00;
 36;34.50;1.00;12.00;
 37;35.50;2.00;12.00;
 38;35.50;1.00;12.00;
 39;36.50;2.00;12.00;
 40;36.50;1.00;12.00;
 41;37.50;2.00;12.00;
 42;37.50;1.00;12.00;
 43;72.00;22.00;12.00;
 44;62.00;0.0;12.00;
 45;62.00;22.00;12.00;
 46;38.50;2.00;12.00;
 47;38.50;1.00;12.00;
 48;39.50;2.00;12.00;
 49;39.50;1.00;12.00;
 50;40.50;2.00;12.00;
 51;40.50;1.00;12.00;
 52;41.50;2.00;12.00;
 53;41.50;1.00;12.00;
 54;42.50;2.00;12.00;
 55;42.50;1.00;12.00;
 56;43.50;2.00;12.00;
 57;43.50;1.00;12.00;
 58;44.50;2.00;12.00;
 59;44.50;1.00;12.00;
 60;45.50;2.00;12.00;
 61;45.50;1.00;12.00;
 62;46.50;2.00;12.00;
 63;46.50;1.00;12.00;
 64;47.50;2.00;12.00;
 65;47.50;1.00;12.00;
 66;48.50;2.00;12.00;
 67;48.50;1.00;12.00;
 68;49.50;2.00;12.00;
 69;49.50;1.00;12.00;
 70;50.50;2.00;12.00;
 71;50.50;1.00;12.00;
 72;51.50;2.00;12.00;
 73;51.50;1.00;12.00;
 74;52.50;2.00;12.00;
 75;52.50;1.00;12.00;
 76;53.50;2.00;12.00;
 77;53.50;1.00;12.00;
 78;54.50;2.00;12.00;
 79;54.50;1.00;12.00;
 80;55.50;2.00;12.00;
 81;55.50;1.00;12.00;
 82;56.50;2.00;12.00;
 83;56.50;1.00;12.00;
 84;57.50;2.00;12.00;
 85;57.50;1.00;12.00;
 86;58.50;2.00;12.00;
 87;58.50;1.00;12.00;
 88;59.50;2.00;12.00;
 89;59.50;1.00;12.00;
 90;60.50;2.00;12.00;
 91;60.50;1.00;12.00;
 92;61.50;2.00;12.00;
 93;61.50;1.00;12.00;
 94;28.50;3.00;12.00;
 95;29.50;3.00;12.00;
 96;30.50;3.00;12.00;
 97;31.50;3.00;12.00;
 98;32.50;3.00;12.00;
 99;33.50;3.00;12.00;
 100;34.50;3.00;12.00;
 101;35.50;3.00;12.00;
 102;36.50;3.00;12.00;
 103;37.50;3.00;12.00;
 104;38.50;3.00;12.00;
 105;39.50;3.00;12.00;
 106;40.50;3.00;12.00;
 107;41.50;3.00;12.00;
 108;42.50;3.00;12.00;
 109;43.50;3.00;12.00;
 110;44.50;3.00;12.00;
 111;45.50;3.00;12.00;
 112;46.50;3.00;12.00;
 113;47.50;3.00;12.00;
 114;48.50;3.00;12.00;
 115;49.50;3.00;12.00;
 116;50.50;3.00;12.00;
 117;51.50;3.00;12.00;
 118;52.50;3.00;12.00;
 119;53.50;3.00;12.00;
 120;54.50;3.00;12.00;
 121;55.50;3.00;12.00;
 122;56.50;3.00;12.00;
 123;57.50;3.00;12.00;
 124;58.50;3.00;12.00;
 125;59.50;3.00;12.00;
 126;60.50;3.00;12.00;
 127;61.50;3.00;12.00;
 128;28.50;4.00;12.00;
 129;29.50;4.00;12.00;
 130;30.50;4.00;12.00;
 131;31.50;4.00;12.00;
 132;32.50;4.00;12.00;
 133;33.50;4.00;12.00;
 134;34.50;4.00;12.00;
 135;35.50;4.00;12.00;
 136;36.50;4.00;12.00;
 137;37.50;4.00;12.00;
 138;38.50;4.00;12.00;
 139;39.50;4.00;12.00;
 140;40.50;4.00;12.00;
 141;41.50;4.00;12.00;
 142;42.50;4.00;12.00;
 143;43.50;4.00;12.00;
 144;44.50;4.00;12.00;
 145;45.50;4.00;12.00;
 146;46.50;4.00;12.00;
 147;47.50;4.00;12.00;
 148;48.50;4.00;12.00;
 149;49.50;4.00;12.00;
 150;50.50;4.00;12.00;
 151;51.50;4.00;12.00;
 152;52.50;4.00;12.00;
 153;53.50;4.00;12.00;
 154;54.50;4.00;12.00;
 155;55.50;4.00;12.00;
 156;56.50;4.00;12.00;
