Node;X (m);Y (m);Z (m);Support
 1;20.00;0.0;0.0;
 2;23.45;0.0;0.0;
 3;23.45;5.70;0.0;
 4;20.00;5.70;0.0;
 21;20.20;0.0;0.0;
 22;20.41;0.0;0.0;
 23;20.61;0.0;0.0;
 24;20.81;0.0;0.0;
 25;21.01;0.0;0.0;
 26;21.22;0.0;0.0;
 27;21.42;0.0;0.0;
 28;21.62;0.0;0.0;
 29;21.83;0.0;0.0;
 30;22.03;0.0;0.0;
 31;22.23;0.0;0.0;
 32;22.44;0.0;0.0;
 33;22.64;0.0;0.0;
 34;22.84;0.0;0.0;
 35;23.04;0.0;0.0;
 36;23.25;0.0;0.0;
 37;23.45;0.20;0.0;
 38;23.45;0.39;0.0;
 39;23.45;0.59;0.0;
 40;23.45;0.79;0.0;
 41;23.45;0.98;0.0;
 42;23.45;1.18;0.0;
 43;23.45;1.38;0.0;
 44;23.45;1.57;0.0;
 45;23.45;1.77;0.0;
 46;23.45;1.97;0.0;
 47;23.45;2.16;0.0;
 48;23.45;2.36;0.0;
 49;23.45;2.56;0.0;
 50;23.45;2.75;0.0;
 51;23.45;2.95;0.0;
 52;23.45;3.14;0.0;
 53;23.45;3.34;0.0;
 54;23.45;3.54;0.0;
 55;23.45;3.73;0.0;
 56;23.45;3.93;0.0;
 57;23.45;4.13;0.0;
 58;23.45;4.32;0.0;
 59;23.45;4.52;0.0;
 60;23.45;4.72;0.0;
 61;23.45;4.91;0.0;
 62;23.45;5.11;0.0;
 63;23.45;5.31;0.0;
 64;23.45;5.50;0.0;
 65;23.25;5.70;0.0;
 66;23.04;5.70;0.0;
 67;22.84;5.70;0.0;
 68;22.64;5.70;0.0;
 69;22.44;5.70;0.0;
 70;22.23;5.70;0.0;
 71;22.03;5.70;0.0;
 72;21.83;5.70;0.0;
 73;21.62;5.70;0.0;
 74;21.42;5.70;0.0;
 75;21.22;5.70;0.0;
 76;21.01;5.70;0.0;
 77;20.81;5.70;0.0;
 78;20.61;5.70;0.0;
 79;20.41;5.70;0.0;
 80;20.20;5.70;0.0;
 81;20.00;5.50;0.0;
 82;20.00;5.31;0.0;
 83;20.00;5.11;0.0;
 84;20.00;4.91;0.0;
 85;20.00;4.72;0.0;
 86;20.00;4.52;0.0;
 87;20.00;4.32;0.0;
 88;20.00;4.13;0.0;
 89;20.00;3.93;0.0;
 90;20.00;3.73;0.0;
 91;20.00;3.54;0.0;
 92;20.00;3.34;0.0;
 93;20.00;3.14;0.0;
 94;20.00;2.95;0.0;
 95;20.00;2.75;0.0;
 96;20.00;2.56;0.0;
 97;20.00;2.36;0.0;
 98;20.00;2.16;0.0;
 99;20.00;1.97;0.0;
 100;20.00;1.77;0.0;
