PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     6.000     2   2.4982
        2     0.00000    99.000     6.000     2   2.5100
        3     0.00000    45.246     6.000     2   3.5413
        4     0.00000     5.437    12.000     3   3.7533
        5     0.00000    11.116    24.000     3   3.7533
        6     0.00000     5.453    12.000     3   3.7650
        7     0.00000    10.759     2.000     2   4.0700
        8     0.00000     7.006    24.000     3   4.2748
        9     0.00000    10.288    24.000     3   4.2748
       10     0.00000    10.297    24.000     3   4.2748
       11     0.00000    54.957    12.000     2   4.3407
       12     0.00000    27.370     6.000     2   4.3474
       13     0.00000     5.780    12.000     3   4.5332
       14     0.00000    11.051    24.000     3   4.6745
       15     0.00000    12.849    24.000     3   4.6744
       16     0.00000    12.844    24.000     3   4.6745
       17     0.00000     5.452    12.000     3   4.6837
       18     0.00000    12.650    24.000     3   4.6837
       19     0.00000    42.887    12.000     2   4.7817
       20     0.00000    11.602    12.000     3   4.8891
       21     0.00000    24.448    24.000     3   4.8891
       22     0.00000     3.336    12.000     4   4.9965
       23     0.00000     4.121     6.000     4   4.9965
       24     0.00000     4.597    12.000     4   4.9965
