# name:     cobalt                             Feff8L (EXAFS)       0.1      
# formula:  Co
# sites:    Co1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, hexagonal close packed (hcp)
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=27 Rmt= 1.332 Rnm= 1.369 K  shell
# Pot 1 Z=27 Rmt= 1.344 Rnm= 1.383
# Gam_ch=1.436E+00 H-L exch
# Mu=-1.181E+01 kf=2.060E+00 Vint=-2.798E+01 Rs_int= 1.761
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4982
#           2       0.00000     99.00      6.00     2   2.5100
#           3       0.00000     45.25      6.00     2   3.5413
#           4       0.00000      5.44     12.00     3   3.7533
#           5       0.00000     11.12     24.00     3   3.7533
#           6       0.00000      5.45     12.00     3   3.7650
#           7       0.00000     10.76      2.00     2   4.0700
#           8       0.00000      7.01     24.00     3   4.2748
#           9       0.00000     10.29     24.00     3   4.2748
#          10       0.00000     10.30     24.00     3   4.2748
#          11       0.00000     54.96     12.00     2   4.3407
#          12       0.00000     27.37      6.00     2   4.3474
#          13       0.00000      5.78     12.00     3   4.5332
#          14       0.00000     11.05     24.00     3   4.6745
#          15       0.00000     12.85     24.00     3   4.6744
#          16       0.00000     12.84     24.00     3   4.6745
#          17       0.00000      5.45     12.00     3   4.6837
#          18       0.00000     12.65     24.00     3   4.6837
#          19       0.00000     42.89     12.00     2   4.7817
#          20       0.00000     11.60     12.00     3   4.8891
#          21       0.00000     24.45     24.00     3   4.8891
#          23       0.00000      4.12      6.00     4   4.9965
#          24       0.00000      4.60     12.00     4   4.9965
#    23/  24 paths used
#  xsedge+50, used to normalize mu           2.9272E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.532    -11.812   0.000  6.65085E-02  4.07689E-01 -4.37353E-01
    7719.542    -11.802   0.050  7.29722E-02  4.14476E-01 -4.37488E-01
    7719.571    -11.774   0.100  7.94558E-02  4.21263E-01 -4.37598E-01
    7719.618    -11.726   0.150  9.86908E-02  4.41313E-01 -4.37812E-01
    7719.685    -11.660   0.200  1.18103E-01  4.61364E-01 -4.37800E-01
    7719.771    -11.574   0.250  1.47973E-01  4.91971E-01 -4.37384E-01
    7719.875    -11.469   0.300  1.78330E-01  5.22577E-01 -4.36353E-01
    7719.999    -11.345   0.350  2.12714E-01  5.56662E-01 -4.34144E-01
    7720.142    -11.202   0.400  2.48028E-01  5.90747E-01 -4.30786E-01
    7720.304    -11.040   0.450  2.80907E-01  6.21024E-01 -4.25300E-01
    7720.485    -10.859   0.500  3.15239E-01  6.51301E-01 -4.18064E-01
    7720.685    -10.659   0.550  3.45546E-01  6.75292E-01 -4.07736E-01
    7720.904    -10.440   0.600  3.77834E-01  6.99282E-01 -3.95098E-01
    7721.142    -10.202   0.650  4.07922E-01  7.17970E-01 -3.78532E-01
    7721.399     -9.945   0.700  4.40392E-01  7.36657E-01 -3.59299E-01
    7721.676     -9.669   0.750  4.72936E-01  7.51684E-01 -3.35620E-01
    7721.971     -9.374   0.800  5.07990E-01  7.66711E-01 -3.09280E-01
    7722.285     -9.059   0.850  5.44643E-01  7.79336E-01 -2.78443E-01
    7722.619     -8.726   0.900  5.83521E-01  7.91960E-01 -2.45447E-01
    7722.971     -8.373   0.950  6.24563E-01  8.02974E-01 -2.08473E-01
    7723.342     -8.002   1.000  6.67046E-01  8.13988E-01 -1.70392E-01
    7723.733     -7.611   1.050  7.11370E-01  8.23852E-01 -1.29433E-01
    7724.143     -7.202   1.100  7.55857E-01  8.33716E-01 -8.89110E-02
    7724.571     -6.773   1.150  8.01132E-01  8.42683E-01 -4.70925E-02
    7725.019     -6.326   1.200  8.44931E-01  8.51649E-01 -7.55762E-03
    7725.486     -5.859   1.250  8.88002E-01  8.59845E-01  3.14484E-02
    7725.971     -5.373   1.300  9.27878E-01  8.68041E-01  6.63541E-02
    7726.476     -4.868   1.350  9.65272E-01  8.75520E-01  9.88568E-02
    7727.000     -4.344   1.400  9.97965E-01  8.83000E-01  1.25781E-01
    7727.543     -3.801   1.450  1.02674E+00  8.89776E-01  1.48922E-01
    7728.105     -3.239   1.500  1.04993E+00  8.96553E-01  1.65745E-01
    7728.686     -2.658   1.550  1.06832E+00  9.02619E-01  1.78075E-01
    7729.286     -2.058   1.600  1.08111E+00  9.08684E-01  1.84276E-01
    7729.905     -1.439   1.650  1.08901E+00  9.14026E-01  1.86111E-01
    7730.543     -0.801   1.700  1.09217E+00  9.19368E-01  1.82910E-01
    7731.201     -0.144   1.750  1.09112E+00  9.23970E-01  1.76209E-01
    7731.877      0.532   1.800  1.08684E+00  9.28573E-01  1.66170E-01
    7732.572      1.228   1.850  1.07943E+00  9.32425E-01  1.53846E-01
    7733.287      1.942   1.900  1.07044E+00  9.36277E-01  1.39954E-01
    7734.020      2.676   1.950  1.05924E+00  9.39338E-01  1.24764E-01
    7734.772      3.428   2.000  1.04766E+00  9.42400E-01  1.09265E-01
    7735.544      4.200   2.050  1.03301E+00  9.44299E-01  9.19723E-02
    7736.335      4.990   2.100  1.01833E+00  9.46198E-01  7.46890E-02
    7737.144      5.800   2.150  1.00366E+00  9.48098E-01  5.74594E-02
    7737.973      6.628   2.200  9.88807E-01  9.49997E-01  4.00840E-02
    7738.821      7.476   2.250  9.67541E-01  9.50433E-01  1.76929E-02
    7739.687      8.343   2.300  9.46524E-01  9.50868E-01 -4.49876E-03
    7740.573      9.229   2.350  9.26265E-01  9.51304E-01 -2.59618E-02
    7741.478     10.134   2.400  9.07590E-01  9.51740E-01 -4.58348E-02
    7742.402     11.057   2.450  8.94467E-01  9.56108E-01 -6.38853E-02
    7743.345     12.000   2.500  8.85241E-01  9.60476E-01 -7.78413E-02
    7744.307     12.962   2.550  8.81684E-01  9.64844E-01 -8.58952E-02
    7745.288     13.944   2.600  8.85213E-01  9.69212E-01 -8.66146E-02
    7746.288     14.944   2.650  8.89458E-01  9.72046E-01 -8.49759E-02
    7747.307     15.963   2.700  9.00404E-01  9.74880E-01 -7.64653E-02
    7748.345     17.001   2.750  9.17882E-01  9.77714E-01 -6.12986E-02
    7749.403     18.058   2.800  9.40980E-01  9.80548E-01 -4.04507E-02
    7750.479     19.135   2.850  9.64175E-01  9.82012E-01 -1.82033E-02
    7751.574     20.230   2.900  9.90855E-01  9.83476E-01  7.51719E-03
    7752.689     21.344   2.950  1.01899E+00  9.84941E-01  3.46243E-02
    7753.822     22.478   3.000  1.04623E+00  9.86405E-01  6.07401E-02
    7754.975     23.630   3.050  1.07020E+00  9.87401E-01  8.39288E-02
    7756.146     24.802   3.100  1.09026E+00  9.88398E-01  1.03082E-01
    7757.337     25.993   3.150  1.10452E+00  9.89395E-01  1.16317E-01
    7758.547     27.202   3.200  1.11161E+00  9.90392E-01  1.22283E-01
    7759.775     28.431   3.250  1.11199E+00  9.90788E-01  1.22109E-01
    7761.023     29.679   3.300  1.10470E+00  9.91184E-01  1.14221E-01
    7762.290     30.946   3.350  1.09016E+00  9.91580E-01  9.90682E-02
    7763.576     32.231   3.400  1.06948E+00  9.91976E-01  7.77918E-02
    7764.881     33.536   3.450  1.04434E+00  9.92352E-01  5.21365E-02
    7766.205     34.860   3.500  1.01606E+00  9.92728E-01  2.33815E-02
    7767.548     36.203   3.550  9.86846E-01  9.93104E-01 -6.26561E-03
    7768.910     37.565   3.600  9.58733E-01  9.93480E-01 -3.47608E-02
    7770.291     38.947   3.650  9.32342E-01  9.93487E-01 -6.11140E-02
    7771.691     40.347   3.700  9.10452E-01  9.93493E-01 -8.29268E-02
    7773.110     41.766   3.750  8.93905E-01  9.93499E-01 -9.93686E-02
    7774.549     43.204   3.800  8.82804E-01  9.93505E-01 -1.10354E-01
    7776.006     44.662   3.850  8.77265E-01  9.93798E-01 -1.16085E-01
    7777.482     46.138   3.900  8.76733E-01  9.94090E-01 -1.16825E-01
    7778.978     47.633   3.950  8.79979E-01  9.94382E-01 -1.13804E-01
    7780.492     49.148   4.000  8.85692E-01  9.94675E-01 -1.08336E-01
    7782.026     50.681   4.050  8.93802E-01  9.94765E-01 -1.00295E-01
    7783.578     52.234   4.100  9.02566E-01  9.94855E-01 -9.16162E-02
    7785.150     53.805   4.150  9.11446E-01  9.94945E-01 -8.28345E-02
    7786.741     55.396   4.200  9.20444E-01  9.95035E-01 -7.39476E-02
    7788.350     57.006   4.250  9.30790E-01  9.95294E-01 -6.39096E-02
    7789.979     58.635   4.300  9.42306E-01  9.95553E-01 -5.27261E-02
    7791.627     60.282   4.350  9.55966E-01  9.95812E-01 -3.94332E-02
    7793.294     61.949   4.400  9.72699E-01  9.96071E-01 -2.31162E-02
    7794.980     63.635   4.450  9.93183E-01  9.96362E-01 -3.14290E-03
    7796.685     65.340   4.500  1.01730E+00  9.96653E-01  2.03988E-02
    7798.409     67.064   4.550  1.04451E+00  9.96944E-01  4.69740E-02
    7800.152     68.807   4.600  1.07357E+00  9.97235E-01  7.53531E-02
    7801.914     70.569   4.650  1.10221E+00  9.97352E-01  1.03491E-01
    7803.695     72.351   4.700  1.12833E+00  9.97470E-01  1.29120E-01
    7805.495     74.151   4.750  1.14949E+00  9.97588E-01  1.49848E-01
    7807.314     75.970   4.800  1.16346E+00  9.97705E-01  1.63474E-01
    7809.153     77.808   4.850  1.16808E+00  9.97762E-01  1.67973E-01
    7811.010     79.666   4.900  1.16280E+00  9.97819E-01  1.62697E-01
    7812.887     81.542   4.950  1.14766E+00  9.97875E-01  1.47706E-01
    7814.782     83.438   5.000  1.12371E+00  9.97932E-01  1.24026E-01
    7816.697     85.352   5.050  1.09227E+00  9.97800E-01  9.31612E-02
    7818.630     87.286   5.100  1.05655E+00  9.97668E-01  5.80702E-02
    7820.583     89.238   5.150  1.01940E+00  9.97536E-01  2.15709E-02
    7822.554     91.210   5.200  9.83605E-01  9.97404E-01 -1.36121E-02
    7824.545     93.201   5.250  9.51188E-01  9.97088E-01 -4.52972E-02
    7826.555     95.210   5.300  9.24218E-01  9.96772E-01 -7.16316E-02
    7828.584     97.239   5.350  9.03417E-01  9.96457E-01 -9.18952E-02
    7830.632     99.287   5.400  8.88652E-01  9.96141E-01 -1.06211E-01
    7832.698    101.354   5.450  8.79098E-01  9.95642E-01 -1.15225E-01
    7834.784    103.440   5.500  8.73538E-01  9.95143E-01 -1.20299E-01
    7836.889    105.545   5.550  8.70572E-01  9.94644E-01 -1.22812E-01
    7839.014    107.669   5.600  8.69051E-01  9.94145E-01 -1.23897E-01
    7841.157    109.812   5.650  8.68430E-01  9.93464E-01 -1.23925E-01
    7843.319    111.974   5.700  8.68692E-01  9.92783E-01 -1.23078E-01
