# name:     cobalt                             Feff8L (EXAFS)       0.1      
# formula:  Co
# sites:    Co1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, hexagonal close packed (hcp)
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=27 Rmt= 1.332 Rnm= 1.369 K  shell
# Pot 1 Z=27 Rmt= 1.344 Rnm= 1.383
# Gam_ch=1.436E+00 H-L exch
# Mu=-1.181E+01 kf=2.060E+00 Vint=-2.798E+01 Rs_int= 1.761
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4982
#           2       0.00000     99.00      6.00     2   2.5100
#           3       0.00000     45.25      6.00     2   3.5413
#           4       0.00000      5.44     12.00     3   3.7533
#           5       0.00000     11.12     24.00     3   3.7533
#           6       0.00000      5.45     12.00     3   3.7650
#           7       0.00000     10.76      2.00     2   4.0700
#           8       0.00000      7.01     24.00     3   4.2748
#           9       0.00000     10.29     24.00     3   4.2748
#          10       0.00000     10.30     24.00     3   4.2748
#          11       0.00000     54.96     12.00     2   4.3407
#          12       0.00000     27.37      6.00     2   4.3474
#          13       0.00000      5.78     12.00     3   4.5332
#          14       0.00000     11.05     24.00     3   4.6745
#          15       0.00000     12.85     24.00     3   4.6744
#          16       0.00000     12.84     24.00     3   4.6745
#          17       0.00000      5.45     12.00     3   4.6837
#          18       0.00000     12.65     24.00     3   4.6837
#          19       0.00000     42.89     12.00     2   4.7817
#          20       0.00000     11.60     12.00     3   4.8891
#          21       0.00000     24.45     24.00     3   4.8891
#          23       0.00000      4.12      6.00     4   4.9965
#          24       0.00000      4.60     12.00     4   4.9965
#    23/  24 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -4.373535E-01  4.383865E-01 -1.639459E+00
     0.0500   -4.374883E-01  4.383376E-01 -1.633056E+00
     0.1000   -4.375975E-01  4.382810E-01 -1.626649E+00
     0.1500   -4.378122E-01  4.381082E-01 -1.607555E+00
     0.2000   -4.377998E-01  4.378677E-01 -1.588418E+00
     0.2500   -4.373839E-01  4.374261E-01 -1.556907E+00
     0.3000   -4.363531E-01  4.368053E-01 -1.525287E+00
     0.3500   -4.341443E-01  4.358703E-01 -1.481775E+00
     0.4000   -4.307863E-01  4.346081E-01 -1.438082E+00
     0.4500   -4.253005E-01  4.329003E-01 -1.383142E+00
     0.5000   -4.180636E-01  4.307001E-01 -1.327963E+00
     0.5500   -4.077361E-01  4.279670E-01 -1.262092E+00
     0.6000   -3.950978E-01  4.245773E-01 -1.195960E+00
     0.6500   -3.785321E-01  4.205758E-01 -1.119845E+00
     0.7000   -3.592993E-01  4.157737E-01 -1.043499E+00
     0.7500   -3.356203E-01  4.103310E-01 -9.577964E-01
     0.8000   -3.092802E-01  4.039775E-01 -8.719543E-01
     0.8500   -2.784435E-01  3.969961E-01 -7.773258E-01
     0.9000   -2.454466E-01  3.890384E-01 -6.827203E-01
     0.9500   -2.084734E-01  3.805048E-01 -5.798355E-01
     1.0000   -1.703922E-01  3.709808E-01 -4.772093E-01
     1.0500   -1.294331E-01  3.609594E-01 -3.667472E-01
     1.1000   -8.891105E-02  3.499881E-01 -2.568552E-01
     1.1500   -4.709252E-02  3.386179E-01 -1.395250E-01
     1.2000   -7.557619E-03  3.263934E-01 -2.315701E-02
     1.2500    3.144843E-02  3.139681E-01  1.003327E-01
     1.3000    6.635415E-02  3.008356E-01  2.223949E-01
     1.3500    9.885678E-02  2.874817E-01  3.510368E-01
     1.4000    1.257806E-01  2.736178E-01  4.776513E-01
     1.4500    1.489218E-01  2.597569E-01  6.105429E-01
     1.5000    1.657451E-01  2.456227E-01  7.406876E-01
     1.5500    1.780749E-01  2.316757E-01  8.767104E-01
     1.6000    1.842761E-01  2.177262E-01  1.009125E+00
     1.6500    1.861106E-01  2.041637E-01  1.147099E+00
     1.7000    1.829097E-01  1.908963E-01  1.280511E+00
     1.7500    1.762087E-01  1.782454E-01  1.419479E+00
     1.8000    1.661696E-01  1.661958E-01  1.553062E+00
     1.8500    1.538457E-01  1.549997E-01  1.692899E+00
     1.9000    1.399538E-01  1.446828E-01  1.827176E+00
     1.9500    1.247636E-01  1.354036E-01  1.969874E+00
     2.0000    1.092653E-01  1.271958E-01  2.108216E+00
     2.0500    9.197229E-02  1.200916E-01  2.269229E+00
     2.1000    7.468901E-02  1.141342E-01  2.428209E+00
     2.1500    5.745937E-02  1.092702E-01  2.587883E+00
     2.2000    4.008403E-02  1.053638E-01  2.751327E+00
     2.2500    1.769289E-02  1.013490E-01  2.966120E+00
     2.3000   -4.498759E-03  9.804566E-02  3.187493E+00
     2.3500   -2.596181E-02  9.526377E-02  3.417610E+00
     2.4000   -4.583481E-02  9.279341E-02  3.658213E+00
     2.4500   -6.388532E-02  9.209019E-02  3.908242E+00
     2.5000   -7.784133E-02  9.097403E-02  4.168385E+00
     2.5500   -8.589521E-02  8.921615E-02  4.438686E+00
     2.6000   -8.661462E-02  8.661656E-02  4.719073E+00
     2.6500   -8.497587E-02  8.835825E-02  4.989975E+00
     2.7000   -7.646529E-02  8.983723E-02  5.265006E+00
     2.7500   -6.129864E-02  9.098393E-02  5.543940E+00
     2.8000   -4.045067E-02  9.173408E-02  5.826522E+00
     2.8500   -1.820327E-02  9.592134E-02  6.092254E+00
     2.9000    7.517191E-03  9.980299E-02  6.358577E+00
     2.9500    3.462435E-02  1.033072E-01  6.624959E+00
     3.0000    6.074011E-02  1.063538E-01  6.891047E+00
     3.0500    8.392876E-02  1.112244E-01  7.138214E+00
     3.1000    1.030819E-01  1.155336E-01  7.385432E+00
     3.1500    1.163172E-01  1.192406E-01  7.632090E+00
     3.2000    1.222829E-01  1.223170E-01  7.877609E+00
     3.2500    1.221092E-01  1.262509E-01  8.110832E+00
     3.3000    1.142211E-01  1.293945E-01  8.343124E+00
     3.3500    9.906819E-02  1.317326E-01  8.573626E+00
     3.4000    7.779176E-02  1.332770E-01  8.801518E+00
     3.4500    5.213647E-02  1.349735E-01  9.028192E+00
     3.5000    2.338151E-02  1.357591E-01  9.251687E+00
