 name:     cobalt                               Feff8L (EXAFS)       0.1
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=27 Rmt= 1.332 Rnm= 1.369 K  shell
 Pot 1 Z=27 Rmt= 1.344 Rnm= 1.383
 Gam_ch=1.436E+00 H-L exch
 Mu=-1.181E+01 kf=2.060E+00 Vint=-2.798E+01 Rs_int= 1.761
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    2      icalc       2
 -----------------------------------------------------------------------
   2   6.000   2.5100    2.6137  -11.81193 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  27 Co       absorbing atom
     2.1737   -1.2550   -0.0000  1  27 Co
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.1482E+00  4.3619E-05 -4.3255E+00  1.007E+00  2.1863E+01  2.0604E+00
  0.100  3.1478E+00  2.7109E-02 -4.8193E+00  1.007E+00  2.1888E+01  2.0627E+00
  0.200  3.1468E+00  5.3678E-02 -5.2942E+00  1.007E+00  2.1959E+01  2.0697E+00
  0.300  3.1451E+00  7.9214E-02 -5.7511E+00  1.007E+00  2.2070E+01  2.0812E+00
  0.400  3.1426E+00  1.0331E-01 -6.1901E+00  1.007E+00  2.2210E+01  2.0973E+00
  0.500  3.1393E+00  1.2564E-01 -6.6113E+00  1.007E+00  2.2364E+01  2.1178E+00
  0.600  3.1351E+00  1.4600E-01 -7.0147E+00  1.008E+00  2.2513E+01  2.1426E+00
  0.700  3.1299E+00  1.6428E-01 -7.4004E+00  1.008E+00  2.2636E+01  2.1715E+00
  0.800  3.1236E+00  1.8039E-01 -7.7685E+00  1.009E+00  2.2710E+01  2.2045E+00
  0.900  3.1161E+00  1.9432E-01 -8.1190E+00  1.010E+00  2.2715E+01  2.2414E+00
  1.000  3.1072E+00  2.0607E-01 -8.4519E+00  1.011E+00  2.2631E+01  2.2821E+00
  1.100  3.0967E+00  2.1562E-01 -8.7672E+00  1.013E+00  2.2445E+01  2.3264E+00
  1.200  3.0844E+00  2.2295E-01 -9.0648E+00  1.014E+00  2.2148E+01  2.3743E+00
  1.300  3.0702E+00  2.2810E-01 -9.3445E+00  1.016E+00  2.1742E+01  2.4255E+00
  1.400  3.0537E+00  2.3091E-01 -9.6061E+00  1.019E+00  2.1234E+01  2.4801E+00
  1.500  3.0347E+00  2.3138E-01 -9.8490E+00  1.022E+00  2.0641E+01  2.5380E+00
  1.600  3.0130E+00  2.2947E-01 -1.0072E+01  1.025E+00  1.9982E+01  2.5991E+00
  1.700  2.9881E+00  2.2513E-01 -1.0275E+01  1.028E+00  1.9283E+01  2.6634E+00
  1.800  2.9597E+00  2.1838E-01 -1.0455E+01  1.033E+00  1.8570E+01  2.7309E+00
  1.900  2.9274E+00  2.0931E-01 -1.0609E+01  1.037E+00  1.7869E+01  2.8016E+00
  2.000  2.8908E+00  1.9812E-01 -1.0733E+01  1.041E+00  1.7206E+01  2.8757E+00
  2.200  2.8027E+00  1.7142E-01 -1.0868E+01  1.050E+00  1.6090E+01  3.0340E+00
  2.400  2.6728E+00  1.3822E-01 -1.0741E+01  1.053E+00  1.5393E+01  3.2162E+00
  2.600  2.5483E+00  1.2571E-01 -1.0601E+01  1.183E+00  8.4630E+00  3.3978E+00
  2.800  2.5352E+00  1.4281E-01 -1.0580E+01  1.238E+00  6.8684E+00  3.5331E+00
  3.000  2.5148E+00  1.8634E-01 -1.0614E+01  1.260E+00  6.1927E+00  3.6684E+00
  3.200  2.4693E+00  2.4591E-01 -1.0712E+01  1.266E+00  5.8729E+00  3.8135E+00
  3.400  2.4099E+00  3.1673E-01 -1.0861E+01  1.258E+00  5.7357E+00  3.9643E+00
  3.600  2.3415E+00  3.9134E-01 -1.1018E+01  1.248E+00  5.7059E+00  4.1202E+00
  3.800  2.2656E+00  4.6432E-01 -1.1175E+01  1.230E+00  5.7468E+00  4.2808E+00
  4.000  2.1842E+00  5.3427E-01 -1.1324E+01  1.214E+00  5.8378E+00  4.4455E+00
  4.200  2.0995E+00  5.9764E-01 -1.1463E+01  1.195E+00  5.9669E+00  4.6139E+00
  4.400  2.0120E+00  6.5341E-01 -1.1591E+01  1.177E+00  6.1259E+00  4.7854E+00
  4.600  1.9223E+00  7.0272E-01 -1.1710E+01  1.161E+00  6.3095E+00  4.9599E+00
  4.800  1.8322E+00  7.4351E-01 -1.1820E+01  1.145E+00  6.5139E+00  5.1368E+00
  5.000  1.7414E+00  7.7835E-01 -1.1923E+01  1.130E+00  6.7361E+00  5.3160E+00
  5.200  1.6504E+00  8.0718E-01 -1.2019E+01  1.115E+00  6.9742E+00  5.4972E+00
  5.400  1.5594E+00  8.2948E-01 -1.2108E+01  1.102E+00  7.2263E+00  5.6801E+00
  5.600  1.4684E+00  8.4624E-01 -1.2193E+01  1.090E+00  7.4912E+00  5.8646E+00
  5.800  1.3777E+00  8.5708E-01 -1.2272E+01  1.077E+00  7.7678E+00  6.0504E+00
  6.000  1.2874E+00  8.6268E-01 -1.2348E+01  1.067E+00  8.0554E+00  6.2374E+00
  6.500  1.0646E+00  8.5238E-01 -1.2521E+01  1.042E+00  8.8173E+00  6.7095E+00
  7.000  8.4893E-01  8.1719E-01 -1.2680E+01  1.023E+00  9.6346E+00  7.1868E+00
  7.500  6.4283E-01  7.6891E-01 -1.2830E+01  1.008E+00  1.0501E+01  7.6680E+00
  8.000  4.4735E-01  7.1501E-01 -1.2973E+01  9.965E-01  1.1414E+01  8.1523E+00
  8.500  2.5999E-01  6.5566E-01 -1.3113E+01  9.853E-01  1.2368E+01  8.6390E+00
  9.000  7.9617E-02  5.9508E-01 -1.3255E+01  9.737E-01  1.3362E+01  9.1277E+00
  9.500 -9.7265E-02  5.3773E-01 -1.3398E+01  9.616E-01  1.4394E+01  9.6179E+00
 10.000 -2.6932E-01  4.8655E-01 -1.3538E+01  9.519E-01  1.5461E+01  1.0109E+01
 11.000 -5.9315E-01  4.0051E-01 -1.3810E+01  9.391E-01  1.7700E+01  1.1095E+01
 12.000 -8.9256E-01  3.2979E-01 -1.4073E+01  9.317E-01  2.0068E+01  1.2084E+01
 13.000 -1.1690E+00  2.7543E-01 -1.4325E+01  9.277E-01  2.2558E+01  1.3076E+01
 14.000 -1.4234E+00  2.3229E-01 -1.4568E+01  9.261E-01  2.5165E+01  1.4068E+01
 15.000 -1.6600E+00  1.9956E-01 -1.4803E+01  9.256E-01  2.7883E+01  1.5062E+01
 16.000 -1.8792E+00  1.7426E-01 -1.5044E+01  9.261E-01  3.0708E+01  1.6057E+01
 17.000 -2.0834E+00  1.5222E-01 -1.5297E+01  9.272E-01  3.3635E+01  1.7053E+01
 18.000 -2.2743E+00  1.3211E-01 -1.5546E+01  9.284E-01  3.6662E+01  1.8049E+01
 19.000 -2.4524E+00  1.1437E-01 -1.5798E+01  9.297E-01  3.9785E+01  1.9046E+01
 20.000 -2.6197E+00  9.8225E-02 -1.6053E+01  9.309E-01  4.3000E+01  2.0043E+01
