 name:     cobalt                               Feff8L (EXAFS)       0.1
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=27 Rmt= 1.332 Rnm= 1.369 K  shell
 Pot 1 Z=27 Rmt= 1.344 Rnm= 1.383
 Gam_ch=1.436E+00 H-L exch
 Mu=-1.181E+01 kf=2.060E+00 Vint=-2.798E+01 Rs_int= 1.761
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   13      icalc       2
 -----------------------------------------------------------------------
   3  12.000   4.5332    2.6137  -11.81193 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  27 Co       absorbing atom
    -0.0000   -0.0000   -4.0700  1  27 Co
    -1.4491   -0.0000   -2.0350  1  27 Co
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.1482E+00  1.9256E-05 -7.6590E-01  1.007E+00  2.1863E+01  2.0604E+00
  0.100  3.1478E+00  1.1934E-02 -1.6537E+00  1.007E+00  2.1888E+01  2.0627E+00
  0.200  3.1468E+00  2.3433E-02 -2.4998E+00  1.007E+00  2.1959E+01  2.0697E+00
  0.300  3.1451E+00  3.4111E-02 -3.3062E+00  1.007E+00  2.2070E+01  2.0812E+00
  0.400  3.1426E+00  4.3671E-02 -4.0738E+00  1.007E+00  2.2210E+01  2.0973E+00
  0.500  3.1393E+00  5.1917E-02 -4.8036E+00  1.007E+00  2.2364E+01  2.1178E+00
  0.600  3.1351E+00  5.8767E-02 -5.4970E+00  1.008E+00  2.2513E+01  2.1426E+00
  0.700  3.1299E+00  6.4221E-02 -6.1551E+00  1.008E+00  2.2636E+01  2.1715E+00
  0.800  3.1236E+00  6.8346E-02 -6.7791E+00  1.009E+00  2.2710E+01  2.2045E+00
  0.900  3.1161E+00  7.1250E-02 -7.3702E+00  1.010E+00  2.2715E+01  2.2414E+00
  1.000  3.1072E+00  7.3054E-02 -7.9292E+00  1.011E+00  2.2631E+01  2.2821E+00
  1.100  3.0967E+00  7.3880E-02 -8.4570E+00  1.013E+00  2.2445E+01  2.3264E+00
  1.200  3.0844E+00  7.3840E-02 -8.9541E+00  1.014E+00  2.2148E+01  2.3743E+00
  1.300  3.0702E+00  7.3041E-02 -9.4211E+00  1.016E+00  2.1742E+01  2.4255E+00
  1.400  3.0537E+00  7.1534E-02 -9.8579E+00  1.019E+00  2.1234E+01  2.4801E+00
  1.500  3.0347E+00  6.9390E-02 -1.0264E+01  1.022E+00  2.0641E+01  2.5380E+00
  1.600  3.0130E+00  6.6657E-02 -1.0640E+01  1.025E+00  1.9982E+01  2.5991E+00
  1.700  2.9881E+00  6.3372E-02 -1.0984E+01  1.028E+00  1.9283E+01  2.6634E+00
  1.800  2.9597E+00  5.9566E-02 -1.1295E+01  1.033E+00  1.8570E+01  2.7309E+00
  1.900  2.9274E+00  5.5278E-02 -1.1570E+01  1.037E+00  1.7869E+01  2.8016E+00
  2.000  2.8908E+00  5.0556E-02 -1.1807E+01  1.041E+00  1.7206E+01  2.8757E+00
  2.200  2.8027E+00  4.0103E-02 -1.2136E+01  1.050E+00  1.6090E+01  3.0340E+00
  2.400  2.6728E+00  2.6638E-02 -1.2179E+01  1.053E+00  1.5393E+01  3.2162E+00
  2.600  2.5483E+00  2.4278E-02 -1.2126E+01  1.183E+00  8.4630E+00  3.3978E+00
  2.800  2.5352E+00  2.4582E-02 -1.2042E+01  1.238E+00  6.8684E+00  3.5331E+00
  3.000  2.5148E+00  3.4064E-02 -1.2072E+01  1.260E+00  6.1927E+00  3.6684E+00
  3.200  2.4693E+00  4.6065E-02 -1.2280E+01  1.266E+00  5.8729E+00  3.8135E+00
  3.400  2.4099E+00  5.8432E-02 -1.2562E+01  1.258E+00  5.7357E+00  3.9643E+00
  3.600  2.3415E+00  6.9364E-02 -1.2833E+01  1.248E+00  5.7059E+00  4.1202E+00
  3.800  2.2656E+00  7.8027E-02 -1.3094E+01  1.230E+00  5.7468E+00  4.2808E+00
  4.000  2.1842E+00  8.4883E-02 -1.3330E+01  1.214E+00  5.8378E+00  4.4455E+00
  4.200  2.0995E+00  8.9658E-02 -1.3547E+01  1.195E+00  5.9669E+00  4.6139E+00
  4.400  2.0120E+00  9.2708E-02 -1.3747E+01  1.177E+00  6.1259E+00  4.7854E+00
  4.600  1.9223E+00  9.4748E-02 -1.3933E+01  1.161E+00  6.3095E+00  4.9599E+00
  4.800  1.8322E+00  9.5162E-02 -1.4109E+01  1.145E+00  6.5139E+00  5.1368E+00
  5.000  1.7414E+00  9.4733E-02 -1.4277E+01  1.130E+00  6.7361E+00  5.3160E+00
  5.200  1.6504E+00  9.3440E-02 -1.4441E+01  1.115E+00  6.9742E+00  5.4972E+00
  5.400  1.5594E+00  9.0716E-02 -1.4604E+01  1.102E+00  7.2263E+00  5.6801E+00
  5.600  1.4684E+00  8.7126E-02 -1.4765E+01  1.090E+00  7.4912E+00  5.8646E+00
  5.800  1.3777E+00  8.2578E-02 -1.4929E+01  1.077E+00  7.7678E+00  6.0504E+00
  6.000  1.2874E+00  7.7085E-02 -1.5094E+01  1.067E+00  8.0554E+00  6.2374E+00
  6.500  1.0646E+00  6.0922E-02 -1.5535E+01  1.042E+00  8.8173E+00  6.7095E+00
  7.000  8.4893E-01  4.4452E-02 -1.6051E+01  1.023E+00  9.6346E+00  7.1868E+00
  7.500  6.4283E-01  3.1813E-02 -1.6711E+01  1.008E+00  1.0501E+01  7.6680E+00
  8.000  4.4735E-01  2.6257E-02 -1.7519E+01  9.965E-01  1.1414E+01  8.1523E+00
  8.500  2.5999E-01  2.7172E-02 -1.8250E+01  9.853E-01  1.2368E+01  8.6390E+00
  9.000  7.9617E-02  2.9798E-02 -1.8821E+01  9.737E-01  1.3362E+01  9.1277E+00
  9.500 -9.7265E-02  3.1642E-02 -1.9269E+01  9.616E-01  1.4394E+01  9.6179E+00
 10.000 -2.6932E-01  3.1946E-02 -1.9642E+01  9.519E-01  1.5461E+01  1.0109E+01
 11.000 -5.9315E-01  2.8208E-02 -2.0238E+01  9.391E-01  1.7700E+01  1.1095E+01
 12.000 -8.9256E-01  2.1778E-02 -2.0666E+01  9.317E-01  2.0068E+01  1.2084E+01
 13.000 -1.1690E+00  1.5998E-02 -2.0940E+01  9.277E-01  2.2558E+01  1.3076E+01
 14.000 -1.4234E+00  1.2546E-02 -2.1081E+01  9.261E-01  2.5165E+01  1.4068E+01
 15.000 -1.6600E+00  1.1157E-02 -2.1212E+01  9.256E-01  2.7883E+01  1.5062E+01
 16.000 -1.8792E+00  1.0485E-02 -2.1419E+01  9.261E-01  3.0708E+01  1.6057E+01
 17.000 -2.0834E+00  9.6938E-03 -2.1697E+01  9.272E-01  3.3635E+01  1.7053E+01
 18.000 -2.2743E+00  8.6576E-03 -2.1998E+01  9.284E-01  3.6662E+01  1.8049E+01
 19.000 -2.4524E+00  7.5225E-03 -2.2312E+01  9.297E-01  3.9785E+01  1.9046E+01
 20.000 -2.6197E+00  6.2870E-03 -2.2627E+01  9.309E-01  4.3000E+01  2.0043E+01
