Country_ID,Country_Name,Population_Milion
DE,Germany,83.51
RU,Russia,145.87
MX,Mexico,127.57
UA,Ukraine,43.99
CA,Canada,37.41
AU,Australia,25
JP,Japan,126.5
POR,Portugal,10.28
EG,Egypt,98
BR,Brasil,209.5
