#logE, lgE_hw N exposure mean, statlo, stathi, unfold_unfold_sig, N
# Auger vertical energy spectrum data from PRD paper 2020
# from https://www.auger.unam.mx/AugerWiki/VerticalSpectrumPaper2017
# based on ICRC 2019 dataset, but only slight unfolding changes
# the columns are: lg(E/eV)  lgE_hw  raw_counts  exposure[km2 sr yr]  J [km-2 sr-1 yr-1 eV-1]  lower_sigma[J]_stat  upper_sigma[J]_stat   unfolding_correction    sigma[unfolding_correction]_stat


18.45  0.05   83143  60425.7  1.9384e-18  6.6852e-21  6.7083e-21  0.916  0.001
18.55  0.05   47500  60425.7  9.0762e-19  4.1414e-21  4.1604e-21  0.945  0.001
18.65  0.05   28657  60425.7  4.3098e-19  2.5318e-21  2.5468e-21  0.937  0.002
18.75  0.05   17843  60425.7  2.1639e-19  1.6110e-21  1.6231e-21  0.951  0.003
18.85  0.05   12435  60425.7  1.2266e-19  1.0939e-21  1.1037e-21  0.974  0.001
18.95  0.05    8715  60425.7  6.8521e-20  7.2993e-22  7.3778e-22  0.977  0.001
19.05  0.05    6050  60425.7  3.7962e-20  4.8536e-22  4.9163e-22  0.982  0.002
19.15  0.05    4111  60425.7  2.0549e-20  3.1871e-22  3.2371e-22  0.985  0.002
19.25  0.05    2620  60425.7  1.0352e-20  2.0113e-22  2.0509e-22  0.980  0.001
19.35  0.05    1691  60425.7  5.3310e-21  1.2892e-22  1.3209e-22  0.984  0.001
19.45  0.05     991  60425.7  2.4921e-21  7.8722e-23  8.1257e-23  0.988  0.001
19.55  0.05     624  60425.7  1.2527e-21  4.9864e-23  5.1896e-23  0.993  0.002
19.65  0.05     372  60425.7  5.9716e-22  3.0782e-23  3.2417e-23  1.000  0.002
19.75  0.05     156  60425.7  1.9336e-22  1.5383e-23  1.6663e-23  0.972  0.005
19.85  0.05      83  60425.7  8.1319e-23  8.8621e-24  9.8883e-24  0.967  0.005
19.95  0.05      24  60425.7  1.8678e-23  3.7677e-24  4.6194e-24  0.967  0.005
20.05  0.05       9  60425.7  5.5636e-24  1.8117e-24  2.5279e-24  0.967  0.005
20.15  0.05       6  60425.7  2.9462e-24  1.1639e-24  1.7508e-24  0.967  0.005
