Country_ID,Country_Name,Population_Milion
ITA,Italy,60.36
USA,USA,328.2
UK,UK,55.98
SP,Spain,46.94
FR,France,66.99
AU,Australia,25
JP,Japan,126.5
POR,Portugal,10.28
EG,Egypt,98
BR,Brasil,209.5
