NOMI
Abaco
Abbondanza
Abbondanzio
Abbondio
Abdone
Abelardo
Abele
Abenzio
Abibo
Abramio
Abramo
Acacio
Acario
Accursio
Achille
Acilia
Acilio
Aciscolo
Acrisio
Ada
Adalardo
Adalberta
Adalberto
Adalfredo
Adalgisa
Adalgiso
Adalrico
Adamo
Addo
Addolorata
Adelaide
Adelardo
Adelasia
Adelberto
Adelchi
Adele
Adelfo
Adelgardo
Adelina
Adelmo
Adeodato
Adina
Adolfo
Adone
Adria
Adriana
Adriano
Adrione
Afro
Agabio
Agamennone
Agape
Agapito
Agata
Agazio
Agenore
Agesilao
Agnese
Agostina
Agostino
Agrippa
Aiace
Aida
Aidano
Aimone
Aladino
Alamanno
Alano
Alarico
Alba
Albano
Alberico
Alberta
Alberto
Albina
Albino
Alboino
Albrico
Alceo
Alceste
Alcibiade
Alcide
Alcina
Alcino
Alda
Aldo
Aldobrando
Aleandro
Aleardo
Aleramo
Alessandra
Alessandro
Alessia
Alessio
Alfio
Alfonsa
Alfonso
Alfreda
Alfredo
Algiso
Alice
Alida
Alighiero
Alina
Allegra
Alma
Almerigo
Almiro
Aloisio
Altea
Alvaro
Alviero
Alvise
Amabile
Amadeo
Amalia
Amanda
Amando
Amanzio
Amaranto
Amata
Amato
Amatore
Amauri
Ambra
Ambrogio
Ambrosiano
Amedeo
Amelia
Amelio
Amerigo
Amico
Amilcare
Amina
Amintore
Amleto
Amone
Amore
Amos
Ampelio
Anacleto
Anastasia
Anatolia
Ancilla
Andrea
Andromeda
Angela
Angelica
Angelo
Aniceto
Aniello
Anita
Anna
Annabella
Annagrazia
Annamaria
Annibale
Annunziata
Ansaldo
Anselmo
Ansovino
Antea
Antelmo
Antero
Antigone
Antimo
Antino
Antioco
Antonella
Antonello
Antonia
Antonio
Apollina
Apollinare
Apollo
Apollonia
Appia
Apuleio
Aquilino
Arabella
Araldo
Aratone
Arcadio
Archimede
Archippo
Arcibaldo
Ardito
Arduino
Aresio
Argelia
Argimiro
Argo
Arialdo
Arianna
Ariberto
Ariele
Ariosto
Aris
Aristarco
Aristeo
Aristide
Aristione
Aristo
Aristofane
Aristotele
Armando
Armida
Arminio
Arnaldo
Aronne
Arrigo
Artemisa
Arturo
Ascanio
Asdrubale
Asella
Asia
Asimodeo
Assunta
Assunto
Asterio
Astianatte
Astrid
Ataleo
Atanasia
Atanasio
Athos
Attila
Attilano
Attilio
Auberto
Audace
Augusto
Aurelia
Aureliano
Aurelio
Auro
Aurora
Ausilia
Ausiliatrice
Ausilio
Ave
Averardo
Aza
Azeglio
Azelia
Azelio
Azzurra
Babila
Bacco
Baldassarre
Balderico
Baldo
Baldomero
Baldovino
Bambina
Barbara
Barbarigo
Bardo
Bardomiano
Barnaba
Barsaba
Barsimeo
Bartolo
Bartolomea
Bartolomeo
Basileo
Basilia
Basilio
Bassiano
Bassilla
Bastiano
Batilda
Battista
Beata
Beato
Beatrice
Belina
Bellino
Beltramo
Benedetta
Benedetto
Beniamina
Beniamino
Benigna
Benigno
Benito
Benvenuta
Benvenuto
Berardo
Berengario
Berenice
Bernadetta
Bernardo
Beronico
Bertoldo
Bertolfo
Betta
Biagio
Bianca
Bibiana
Bibiano
Bice
Bindo
Bino
Birino
Bonagiunta
Bonaldo
Bonaventura
Bonavita
Bonifacio
Bonito
Boris
Bortolo
Brancaleone
