Year;effectif_actifs;effectif_retraites;Total Employees;effectif_ayants_cause;effectif_conjoints_actifs;effectif_conjoints_retraites;Total Spouses;effectif_enfants_actifs;effectif_enfants_retraites;effectif_enfants_ayant_cause;Total Children
0;66,0;34,0;100,0;25,0;39,0;25,0;64,0;56,0;29,0;0;85,0
1;65,98393780943323;33,269636218898675;99,25357402833191;24,616222770774858;38,93159684460031;23,839391842039912;62,77098868664022;55,809995442734255;28,976423267784995;0;84,78641871051926
2;65,9667739344986;32,46436773983047;98,43114167432907;24,193688668228493;38,858555718624345;22,685554540384082;61,54411025900843;55,78665044499926;28,964370986066093;0;84,75102143106535
3;65,94858541594783;31,5782843710956;97,52686978704344;23,728056332844407;38,78066278633058;21,547366333192954;60,328029119523535;55,77082879399327;28,95229104331643;0;84,7231198373097
4;65,94858541594775;31,592468439180358;97,5410538551281;23,214982388141454;38,69678911627245;20,427034926769114;59,123824043041566;55,75754896788923;28,939792929499422;0;84,69734189738865
5;65,94858541594783;30,52788861286128;96,47647402880911;22,650049472437644;38,60637497622039;19,334701465439522;57,94107644165991;55,74551170474822;28,926907789896187;0;84,6724194946444
6;65,94858541594785;29,37359462617627;95,32218004212412;22,029762279515836;38,50871917126415;18,270728280809667;56,77944745207381;55,734094567919556;28,913382671865456;0;84,64747723978502
7;65,94858541594775;28,131110299874734;94,07969571582248;21,348852705929435;38,403264735395084;17,23430843015175;55,63757316554683;55,72327518381685;28,899044806240692;0;84,62231999005755
8;65,94858541594779;26,805673559445026;92,75425897539282;20,605628651025413;38,289174086441996;16,230929470578083;54,52010355702008;55,712564264442705;28,88384379798501;0;84,59640806242771
9;65,94858541594775;26,37911200543536;92,3276974213831;19,79693862567896;37,226195163647006;16,196171655082765;53,42236681872977;54,70310368481038;29,866157937988856;0;84,56926162279923
