LUN+19_NAME       HYPERLEDA_NAME     COUNTERPART_NAME      TYPE_HOST     RA      DEC     (m-M)   ERR_(m-M)  DL[Mpc] ERR_LN(DL)   FLUX(1.4GHz)[Jy] ERR_FLUX    FLAG_ApJL2018(No/Yes/Xcheck) 
NGC0055           NGC0055            NGC0055               SBm           3.72    -39.20  26.62   0.01       2.11    0.005        0.37             N/A         N                            
NGC1569           NGC1569            NGC1569               IB            67.70   64.85   27.53   0.05       3.21    0.023        0.40             N/A         X                            
NGC2403           NGC2403            NGC2403               SABc          114.21  65.60   27.53   0.01       3.21    0.005        0.39             N/A         X                            
IC342             IC0342             IC342                 SABc          56.70   68.10   27.68   0.03       3.44    0.014        2.25             N/A         Y                            
NGC4945           NGC4945            NGC4945               Sbc           196.37  -49.47  27.70   0.02       3.47    0.009        6.60             N/A         Y                            
NGC3034(M82)      NGC3034            M82                   S?            148.97  69.68   27.79   0.01       3.61    0.005        7.29             N/A         Y                            
NGC0253           NGC0253            NGC253                SABc          11.89   -25.29  27.84   0.02       3.70    0.009        6.00             N/A         Y                            
N/A               ESO097-013         Circinus              Sb            213.29  -65.34  28.12   0.36       4.21    0.166        1.50             N/A         Y                            
NGC5236(M83)      NGC5236            M83                   Sc            204.25  -29.87  28.45   0.02       4.90    0.009        2.44             N/A         Y                            
Maffei2           PGC010217          Maffei2               Sbc           40.48   59.60   28.79   0.12       5.73    0.055        1.01             N/A         X                            
NGC6946           NGC6946            NGC6946               SABc          308.72  60.15   29.14   0.05       6.73    0.023        1.40             N/A         Y                            
NGC4631           NGC4631            NGC4631               SBcd          190.53  32.54   29.33   0.02       7.35    0.009        1.12             N/A         Y                            
NGC5194(M51)      NGC5194            M51                   SABb          202.48  47.20   29.67   0.02       8.59    0.009        1.31             N/A         Y                            
NGC5055(M63)      NGC5055            NGC5055               Sbc           198.96  42.03   29.78   0.01       9.04    0.005        0.35             N/A         Y                            
NGC2903           NGC2903            NGC2903               Sbc           143.04  21.50   29.85   0.11       9.33    0.051        0.44             N/A         Y                            
NGC891            NGC0891            NGC891                Sb            35.64   42.35   29.94   1.72       9.73    0.792        0.70             N/A         Y                            
NGC1068           NGC1068            NGC1068               Sb            40.66   0.00    30.12   0.34       10.6    0.157        4.85             N/A         Y                            
NGC3628           NGC3628            NGC3628               SBb           170.07  13.59   30.21   0.34       11.0    0.157        0.47             N/A         Y                            
NGC4818           NGC4818            NGC4818               SABa          194.20  -8.53   30.27   0.33       11.3    0.152        0.45             N/A         N                            
NGC3627           NGC3627            NGC3627               Sb            170.06  12.99   30.30   0.04       11.5    0.018        0.46             N/A         Y                            
NGC1808           NGC1808            NGC1808               Sa            76.93   -37.51  30.45   0.36       12.3    0.166        0.50             N/A         X                            
NGC4303           NGC4303            M61                   Sbc           185.48  4.47    30.45   0.10       12.3    0.046        0.44             N/A         X                            
NGC3521           NGC3521            NGC3521               SABb          166.45  -0.04   30.47   0.29       12.4    0.134        0.35             N/A         N                            
NGC0660           NGC0660            NGC660                Sa            25.76   13.65   30.50   1.31       12.6    0.603        0.37             N/A         Y                            
NGC4254           NGC4254            NGC4254               Sc            184.71  14.42   30.77   1.13       14.3    0.520        0.37             N/A         N                            
NGC7331           NGC7331            NGC7331               Sbc           339.27  34.42   30.81   0.03       14.5    0.014        0.37             N/A         X                            
NGC1097           NGC1097            NGC1097               SBb           41.58   -30.27  30.84   0.25       14.7    0.115        0.41             N/A         X                            
NGC1672           NGC1672            NGC1672               Sb            71.43   -59.25  30.95   1.06       15.5    0.488        0.45             N/A         X                            
NGC4666           NGC4666            NGC4666               SABc          191.29  -0.46   30.96   0.49       15.6    0.226        0.43             N/A         X                            
NGC5643           NGC5643            NGC5643               Sc            218.19  -44.15  31.03   1.00       16.1    0.461        0.36             N/A         N                            
NGC3079           NGC3079            NGC3079               SBc           150.46  55.67   31.16   0.32       17.1    0.147        0.82             N/A         Y                            
NGC1365           NGC1365            NGC1365               Sb            53.39   -36.14  31.19   0.02       17.3    0.009        0.53             N/A         Y                            
NGC3310           NGC3310            NGC3310               SABb          159.69  53.50   31.23   0.82       17.6    0.378        0.42             N/A         X                            
NGC7582           NGC7582            NGC7582               SBab          349.60  -42.37  31.41   0.10       19.1    0.046        0.68             N/A         N                            
NGC4038/9         N/A                NGC4038/9             SBm           180.47  -18.88  31.87   0.94       23.7    0.434        0.54             N/A         N                            
NGC1482           NGC1482            NGC1482               S0-a          58.66   -20.50  31.92   0.67       24.2    0.309        0.31             N/A         N                            
NGC2146           NGC2146            NGC2146               SBab          94.66   78.36   31.98   0.37       24.9    0.170        1.09             N/A         Y                            
NGC0157           NGC0157            NGC0157               SABb          8.69    -8.40   32.21   0.18       27.7    0.083        0.31             N/A         N                            
NGC3256           NGC3256            NGC3256               Sbc           156.96  -43.90  32.87   0.42       37.5    0.193        0.64             N/A         X                            
ESO173-G015       ESO173-015         ESO173-G015           Sc            201.85  -57.49  33.01   0.40       40.0    0.184        0.48             N/A         N                            
NGC3690           NGC3690            NGC3690               Sm            172.13  58.56   33.46   0.32       49.2    0.147        0.66             N/A         Y                            
NGC0839           NGC0839            NGC0839               S0-a          32.43   -10.18  33.69   0.29       54.7    0.134        0.37             N/A         N                            
UGC09913(Arp220)  IC1127             ARP220                Sm            233.74  23.50   34.58   0.19       82.4    0.087        0.32             N/A         Y                            
NGC6240           NGC6240            NGC6240               S0-a          253.26  2.40    35.18   0.15       108.6   0.069        0.65             N/A         Y                            
