#energyBin lgMinEnergy lgMaxEnergy sigmaUp sigmaLow
 0 17.8 17.9 +7.520e+00 -1.014e+01
 1 17.9 18.0 +7.393e+00 -1.010e+01
 2 18.0 18.1 +7.281e+00 -1.004e+01
 3 18.1 18.2 +7.192e+00 -9.929e+00
 4 18.2 18.3 +7.134e+00 -9.772e+00
 5 18.3 18.4 +7.114e+00 -9.556e+00
 6 18.4 18.5 +7.134e+00 -9.293e+00
 7 18.5 18.6 +7.196e+00 -8.981e+00
 8 18.6 18.7 +7.294e+00 -8.649e+00
 9 18.7 18.8 +7.427e+00 -8.299e+00
10 18.8 18.9 +7.589e+00 -7.957e+00
11 18.9 19.0 +7.769e+00 -7.656e+00
12 19.0 19.1 +7.971e+00 -7.389e+00
13 19.1 19.2 +8.175e+00 -7.185e+00
14 19.2 19.3 +8.408e+00 -7.016e+00
15 19.3 19.4 +8.627e+00 -6.906e+00
16 19.4 19.5 +8.885e+00 -6.824e+00
17 19.5 20.0 +9.320e+00 -6.762e+00
